اسم المصنع / المنشأة,الاسم بالإنجليزية,القطاع الصناعي,المنطقة الفرعية / المجمع الصناعي,حالة المطابقة مع CRM,الاسم المطابق في السيستم,رقم التليفون,الموقع الإلكتروني,العنوان التفصيلي,رابط Google Maps المباشر,خط العرض (Latitude),خط الطول (Longitude),التصنيف التقني Overture,المعرف الفرعي (Overture ID)
Auto Trust VW October,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201024077722,—,"الحي التاني ، شارع, Generation 2000 School","https://www.google.com/maps?q=29.9646,30.940744",29.9646,30.940744,auto_parts_and_supply_store,11b7d9f3-1297-43f2-8770-80d622360007
شركة الرؤية العصرية للسيراميك والبورسلين والادوات الصحية Modern Vision Egy,,مواد بناء ورخام وسيراميك وخرسانة جاهزة,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201064200055,http://mvm-group.com/,السادس من أكتوبر _ المحور المركزي _ مقابل لابوار كافيه _ بجانب مطعم تشك تشكن,"https://www.google.com/maps?q=29.969528,30.940701",29.969528,30.940701,wholesale_store,b7b49325-68cb-4faf-9854-b79f54a64b54
ترند اكتوبر Auto,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201010035309,—,المحور المركزي ,"https://www.google.com/maps?q=29.969347,30.940722",29.969347,30.940722,automotive_services_and_repair,dcc1ffcc-1a52-4ac7-9705-22ca3f61d04d
كونكريت للمقاولات والاستثمار العقارى,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,02 38375200,http://www.concrete4building.com,المحور المركزى,"https://www.google.com/maps?q=29.970499,30.940756",29.970499,30.940756,construction_services,8bd6d5e0-f4e6-43fc-88ce-94e00080e262
DR. Mohamed Salah - د. محمد صلاح,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201111136544,https://www.instagram.com/dr.mohamadsalah/,مدينة الشيخ زايد - مجمع رفيدة الطبي - الدور الثاني - عيادة 204,"https://www.google.com/maps?q=29.970369,30.940914",29.970369,30.940914,dermatologist,d9d25b1b-6fd2-4de8-981f-001b6b26e0fe
الضحى الهندسية- Aldoha Engineering,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201032393945,http://www.aldohagroups.com/,"Next to Al-Hossary Mosque, Al Mehwar Al Markazi, First 6th of October, Giza Governorate 12537","https://www.google.com/maps?q=29.969028,30.94091",29.969028,30.94091,architectural_designer,c734228b-f3a7-4075-86e1-f4dfdb646139
الهدير للمفروشات الجمله,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201025495461,—,الحصري المحور المركزي - برج رقم ٦بعد مسجد الحصري بجوار غطاطي للإطارات,"https://www.google.com/maps?q=29.97064,30.941166",29.97064,30.941166,b2b_textiles,3f8162d8-02f2-4d85-9c2f-a61dd5b7d701
"Gizatec, Giza Fertilizers Manufacturing co.",,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201000083600,http://www.gizatec.com/,"344, El Hegaz St., 7th. Dist.,","https://www.google.com/maps?q=29.977417,30.941107",29.977417,30.941107,chemical_plant,b92bbcba-8269-4643-9319-2e15d3239fdd
Homeart,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201111877828,http://www.instgram.com/homeart_egypt,Blue star mall - office 49,"https://www.google.com/maps?q=29.971945,30.940998",29.971945,30.940998,architectural_designer,248ee564-3f65-41c7-882f-fa9177f43344
خزانات مياه - مصنع بلاستوتنك,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201227658815,https://www.plastotank.com/,"قطعة رقم 146 امتداد المنطقة الصناعية الثالثة خلف مصنع الكموني للسيارات, 6 أكتوبر , مصر","https://www.google.com/maps?q=29.975637,30.940962",29.975637,30.940962,industrial_company,eb3a663e-5ee1-4d09-a811-badcc04535c6
شركة نقل عفش في اكتوبر 01033977303,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201033977303,https://www.facebook.com/Luggage.Transfor.Company.in.October/,اكتوبر ,"https://www.google.com/maps?q=29.972265,30.940969",29.972265,30.940969,transportation,8b7906ce-f400-4222-adb1-cb1ee6dd4969
شركات نقل الاثاث بالسادس من اكتوبر 01023466174,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201101577400,https://www.google.com/url?sa=t&source=web&rct=j&url=https%3A%2F%2Fteba400.wordpress.com%2F&ved=2ahUKEwji-Nvkg7H2AhXEwKQKHSgPABYQFnoECDwQAQ&usg=AOvVaw2eI4Po7UYmJH8mRICG8rQE,‏السادس من أكتوبر‏,"https://www.google.com/maps?q=29.972691,30.940889",29.972691,30.940889,movers,e01e0cc4-0e6a-49f3-85db-dfd3ff84bb4d
AlFares Egypt,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201090200126,http://www.alfaresegypt.com/,6th of october - el mehwar el markazy - medan magda -prime plaza,"https://www.google.com/maps?q=29.974037,30.941622",29.974037,30.941622,construction_services,2d7175ca-4586-4d5f-aff8-a5afd482a9a3
ونش رفع اثاث بحدائق الاهرام 01151979497,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201004236023,https://elyousrtransport.com/2022/09/13/%D9%88%D9%86%D8%B4-%D8%B1%D9%81%D8%B9-%D8%A7%D9%84%D8%A7%D8%AB%D8%A7%D8%AB-%D8%A8%D8%AD%D8%AF%D8%A7%D8%A6%D9%82-%D8%A7%D9%84%D8%A7%D9%87%D8%B1%D8%A7%D9%85-01004236023/,"282 منطقة د بوابة احمس, الجيزة ","https://www.google.com/maps?q=29.972227,30.941559",29.972227,30.941559,movers,153926fc-8650-4bfc-9c24-11106a0840c6
الالفي,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201006752712,—,سنتر الاردنية الحي السابع ,"https://www.google.com/maps?q=29.980148,30.941523",29.980148,30.941523,automotive_repair,69955f0c-014e-41d5-94ed-e9931cdd97b2
شركة تكييف 6 اكتوبر - 01101120111,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201101120111,https://air-conditioners.website/,الحى المتميز مجاورة3 السوق التجارى / 6 أكتوبر,"https://www.google.com/maps?q=29.973303,30.941278",29.973303,30.941278,hvac_services,56451506-3b00-46ba-aacd-e6baddf3d132
جولدن تاتش للنظافة وتنظيف الواجهات الزجاجية والكلادينج  ,,مواد بناء ورخام وسيراميك وخرسانة جاهزة,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201553855400,https://www.instagram.com/ttsh.jwldn?igsh=MXhkOGJnbTBkN2hwdQ%3D%3D,الشيخ زايد ,"https://www.google.com/maps?q=29.971819,30.941319",29.971819,30.941319,home_cleaning,0821ec94-3fd4-498c-90b7-51e416f528af
ونش رفع عفش في كمبوند دجله جاردنز حدائق اكتوبر 01032428296,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),موجود بالفعل بالسيستم (تحديث/إثراء إحداثيات),شركة نقل عفش العاشرمن رمضان 01032428296،شركات نقل الأثاث,+201032428296,https://66a503f013c7c.site123.me/,كمبوند دجله جاردنز حدائق اكتوبر ,"https://www.google.com/maps?q=29.974899,30.941359",29.974899,30.941359,freight_and_cargo_service,5b075edc-dad2-4995-8bf7-f6c6ad538df4
MN Group,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201020805324,—,"أبراج عزيز ميخائيل بجوار Air gym, الحصري, Al Mehwar Al Markazi","https://www.google.com/maps?q=29.971167,30.941328",29.971167,30.941328,construction_services,8862d003-a643-4c18-83e9-9801ecfe8c7a
Shades Construction and Engineering,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238361833,https://www.tiktok.com/@shadesengineering?_r=1&_t=ZS-96PQYw0gR2m,"Al Alamyia Co, Towers, Tower, Offica No. 1, 3B Al Hossary Square","https://www.google.com/maps?q=29.970758,30.941343",29.970758,30.941343,construction_services,7054c531-f886-4c3e-8b87-4f5cb0d530f9
عثمان للطباعة,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201115245482,https://othmanprinting.wordpress.com/,مدارس جيل 2000، قسم أول 6 أكتوبر، اول 6 أكتوبر، الجيزة،,"https://www.google.com/maps?q=29.965162,30.941355",29.965162,30.941355,screen_printing_t_shirt_printing,7d9b6370-1661-46eb-93d1-fef1cf52a43d
رتاج للعمارة والديكور والتشطيبات,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238382477,https://reitajdar.com/finishing-and-decoration/,"2 ابراج عزيز ميخائيل, الدور 2, بجوار مسجد الحصرى","https://www.google.com/maps?q=29.971243,30.941481",29.971243,30.941481,interior_design,ecc02d46-9c09-493e-8cea-d67e6576e90a
ثرى ام للدعاية والاعلان,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201150006315,https://www.facebook.com/Charisma.adv6/,ابراج عزيز ميخائيل - المحور المركزى,"https://www.google.com/maps?q=29.97089,30.941484",29.97089,30.941484,advertising_agency,9651ac10-b03c-45ab-a5b2-15d5c14ed98f
ARKAN - Contracting & Marketing,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201014720108,—,المحور المركزي - ابراج الشركة العالمية - برج ١ - الدور الثاني - مكتب ٣,"https://www.google.com/maps?q=29.971077,30.941536",29.971077,30.941536,engineering_services,ab93b457-6947-4681-a9ba-ec19e4ef0733
شركة المهندس وسيط تمويل عقارى,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238374045,—,1 المحور المركزي,"https://www.google.com/maps?q=29.971025,30.941622",29.971025,30.941622,real_estate_service,a186c4c9-a000-41d2-9425-4f0120ec7f9b
مؤسسة خالد لكهربائي السيارات,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,—,سنتر الفيروز الحى الثالث السادس من اكتوبر ,"https://www.google.com/maps?q=29.957985,30.94153",29.957985,30.94153,automotive_repair,9d72b5a1-0508-4866-ae17-aa1358c018c2
CLADIFYWpc,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201004824229,—,Zayed,"https://www.google.com/maps?q=29.949081,30.941235",29.949081,30.941235,contractor,bc2e5b8c-1355-4a29-bdd9-27cb83e55edd
ديار للبناء والتطوير,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201280801900,https://deyaarhany.com/,شقه 1، عماره 23، جنوب الاحياء - المستثمر الصغير,"https://www.google.com/maps?q=29.931988,30.941494",29.931988,30.941494,property_management,59fa0273-c09f-4372-896e-4febcdc6f682
Free Will Design,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201006771782,—,1479 47th Street,"https://www.google.com/maps?q=29.950687,30.942221",29.950687,30.942221,professional_services,ff6ea568-a8cd-4c95-ad36-6ce60d29d3a8
ستار تولز لمعدات مراكز الخدمة,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201063348838,https://startools-eg.com/,عمارة 1433 - شارع 53 - الحي الثالث - المجاورة السابعة، متفرع من محور الكفراوي - ناصية محور عبدالسلام امين‎,"https://www.google.com/maps?q=29.952337,30.942303",29.952337,30.942303,automotive_services_and_repair,184046f1-ded3-440a-b83e-58fd550ac732
طيبة للزوايا والترصيص,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201027719426,—,ح٣مج٧ بجوار معهد التكنولوجيا سنتر الجهاز بجوار مطعم نور امام سنتر الفيروز,"https://www.google.com/maps?q=29.957029,30.942192",29.957029,30.942192,automotive_repair,5bc5166d-1c0a-42c4-9a9c-f6cbde923fb1
الطحان ميتال,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201004045692,—,Divided from Al Kafrawei,"https://www.google.com/maps?q=29.957756,30.941868",29.957756,30.941868,contractor,5a0d76a5-4bbe-4e7f-8248-9f03ffd18765
المصرية ميتال,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201158485806,https://maps.app.goo.gl/H9PdJVSVHtubjdmY6,34.4 Generation 2000 School,"https://www.google.com/maps?q=29.964622,30.941677",29.964622,30.941677,construction_services,bfd12aef-c224-4d4e-9aa4-351fd0c30ca4
Bridgestone,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),موجود بالفعل بالسيستم (تحديث/إثراء إحداثيات),Bridgestone,+201105176997,https://www.fitandfix.com/,77 Al Mehwar Al Markazi,"https://www.google.com/maps?q=29.97019,30.94173",29.97019,30.94173,automotive_repair,4ccfc2ce-faa2-47fd-b116-d15af47287de
El Safwa Auto Spare Parts,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201065753334,—,Aziz Ishaq Street 1\nShamal\nGiza\nEgypt,"https://www.google.com/maps?q=29.971182,30.94178",29.971182,30.94178,auto_parts_and_supply_store,0681bc85-82d1-4b9f-af5c-8063a04c8b93
Modern Media,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201027850003,https://modernmediaegypt.com/,7 المحور المركزي,"https://www.google.com/maps?q=29.970697,30.941875",29.970697,30.941875,marketing_agency,9f3c95e3-c0ea-4ff8-ba7d-da7907195526
ونش رفع عفش 6 اكتوبر 01015587538،ونش لرفع الاثاث,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),موجود بالفعل بالسيستم (تحديث/إثراء إحداثيات),شركه نقل عفش العاشر من رمضان 01015587538،شركات نقل الاثاث,+201015587538,https://www.facebook.com/winchliftingfurniture.at.october.city/,6 أكتوبر,"https://www.google.com/maps?q=29.972612,30.94194",29.972612,30.94194,movers,f9877df6-1a58-4677-997c-7c095ccdccc0
محمصات الاردنية,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201201444566,https://www.facebook.com/محمصات-الاردنية-107779831616731/,مكة المكرمة ,"https://www.google.com/maps?q=29.980486,30.941797",29.980486,30.941797,fruits_and_vegetables,fb264e0a-824f-4055-b1b9-d6716171502a
The king Car Accessories,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201149959591,—,شارع Mecca El-Mokarrama,"https://www.google.com/maps?q=29.980854,30.941776",29.980854,30.941776,auto_parts_and_supply_store,c7cc9210-ca76-457d-bbe5-83f5b55f42c7
MAGIC Auto Service,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201004149834,https://linktr.ee/MAGIC281,السادس من اكتوبر,"https://www.google.com/maps?q=29.972189,30.941643",29.972189,30.941643,automotive_repair,9e8e156c-1f53-4a1a-9bfd-4863b18cb2af
Swimming Tools,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201008640802,—,Waraqa Ibn Naofal,"https://www.google.com/maps?q=29.983006,30.941629",29.983006,30.941629,business_manufacturing_and_supply,9e465916-e43b-4d7a-b5bc-c7a39705f201
ونش رفع الاثاث فى اكتوبر 01014368654 ونش رفع عفش,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),موجود بالفعل بالسيستم (تحديث/إثراء إحداثيات),شركة نقل عفش بالعاشر من رمضان 01014368654 ،شركات نقل اثاث,+201014368654,—,اكتوبر,"https://www.google.com/maps?q=29.993021,30.941807",29.993021,30.941807,freight_and_cargo_service,77cdaa25-e061-4983-8a78-3ad2742d8188
AlManara logistics,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201101285853,https://www.linkedin.com/company/al-manara-freight-forwarder,مدينه ٦ اكتوبر الحي الثالث - المحور المركزى - المجاورة1 - عمارة 57 - مكتب 7,"https://www.google.com/maps?q=29.972891,30.942348",29.972891,30.942348,freight_and_cargo_service,673fd8ac-ef43-43c5-8ab8-732357ec249b
Basyoni Auto,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201000374048,—,سنتر الاردنيه، شارع Mecca El-Mokarrama,"https://www.google.com/maps?q=29.980053,30.942184",29.980053,30.942184,auto_parts_and_supply_store,4e29070f-4a47-4a94-8ee5-b60e691e0051
شركة العربى للتطوير العقاري,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201050379117,http://alaraby-im.com/,El-Tahrir Rd,"https://www.google.com/maps?q=29.980446,30.942028",29.980446,30.942028,real_estate_service,6b794a5b-b1a3-4f70-b2e9-72d3d50d2b6d
El Basha Car Rental,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201005836030,https://plus.google.com/114340651414750832361?hl=en,"امام البنك العربى, 69 Al Mehwar Al Markazi Al Nassr St","https://www.google.com/maps?q=29.970434,30.942181",29.970434,30.942181,car_rental_agency,f8fc35d0-a104-4573-8319-4553551446da
Dream store-دريم ستور,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201098557510,—,الحي الثاني جانب مسجد ابو بكر,"https://www.google.com/maps?q=29.966545,30.94219",29.966545,30.94219,grocery_store,9cb9355c-2d3e-4c2c-8413-2ac33a288bf7
المعمارى للهندسه و المقاولات   ALmeamary  engineering&contracting,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201146406620,http://www.almeamary.com/,Egypt - Giza - 6 October City “Hosary Square” - Central Axis,"https://www.google.com/maps?q=29.971258,30.94248",29.971258,30.94248,construction_services,9a8f785e-9dd1-4686-945d-a838cb978700
Motal for Aluminium Works - موتال لأعمال الألوميتال,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201111991232,—,Dr Abd El-Haleem Radwan,"https://www.google.com/maps?q=29.962358,30.94257",29.962358,30.94257,business_manufacturing_and_supply,a54b5e3f-8c17-4da6-8079-afa39e553722
Bernasos Stationery,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,02 36976261,https://bernasos.com,El Mehwar El Markazi,"https://www.google.com/maps?q=29.971043,30.94264",29.971043,30.94264,business_office_supplies_and_stationery,a02aaa01-764e-439c-8a25-9b9015334253
شركة عقار اليوم للتسويق العقاري,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201159262626,—,328,"https://www.google.com/maps?q=29.975853,30.94269",29.975853,30.94269,real_estate_service,6c8ecbed-1fe0-43b5-9cac-b8e2cbd4677e
KEMET For Engineering & Export,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201096751639,http://www.kemet-company.com/,6 October- 7 district - AL Hosry square  ,"https://www.google.com/maps?q=29.983225,30.942501",29.983225,30.942501,structural_engineer,ab095393-a7f4-42a8-80b9-85eabb0d9b33
ونش رفع عفش في أكتوبر 01288752505,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201288752505,http://furniture-moving-company.com/,6 اكتوبر,"https://www.google.com/maps?q=29.978327,30.942465",29.978327,30.942465,freight_and_cargo_service,f8b197a8-3dea-4635-931a-30dbe4e304f8
انفيديا ميديا,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,02 38358365,http://www.invedia-eg.com,فيلا 8 - ش نادى 6 اكتوبر المجاورة الثالثة,"https://www.google.com/maps?q=29.988192,30.942446",29.988192,30.942446,business_consulting,5f91233e-42fe-4350-844e-a518e30b5f9d
ونش رفع الاثاث بالشيخ زايد 01011529453,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201011529453,https://66a503f013c7c.site123.me/,السادس من اكتوبر,"https://www.google.com/maps?q=29.986324,30.942986",29.986324,30.942986,freight_and_cargo_service,00fb3f37-8b6c-4dba-ae1e-d0a4ebd903e3
يس للخدمات الهندسية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201153198742,—,سنتر الاردنية، شارع مكة المكرمة الحي السابع المنطقة الأولى ،,"https://www.google.com/maps?q=29.979208,30.943096",29.979208,30.943096,professional_services,b7608456-b66e-4f2b-a106-af46a14facd0
Ibrahim architect,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201012438575,http://www.behance.net/WorkaholicArchitect,el yasmeen، street,"https://www.google.com/maps?q=29.971865,30.942987",29.971865,30.942987,architectural_designer,349884e8-11fe-406e-b76c-0cef8307423e
Samir & Aly Stationery (مكتبات سمير و علي),,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,https://samirandaly.com,El Motamayez District,"https://www.google.com/maps?q=29.973,30.942968",29.973,30.942968,business_office_supplies_and_stationery,cd46b278-7dbe-4262-9580-bffdbd416e61
جزار الاردنية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201010633389,—,شارع El-Madina El-Monawwara,"https://www.google.com/maps?q=29.97901,30.942928",29.97901,30.942928,meat_wholesaler,5e445048-d0d5-45e5-87ae-c312349c04f6
Kheir Zaad Market,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201276760402,—,Mecca El-Mokarrama,"https://www.google.com/maps?q=29.97868,30.942835",29.97868,30.942835,grocery_store,1fac1214-2425-4138-b151-2d4f7f6a5dda
في الخدمة,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201115050370,—,السادس من اكتوبر,"https://www.google.com/maps?q=29.977482,30.942822",29.977482,30.942822,home_cleaning,babd6bca-ef64-47ec-8d7f-3105a6a150e1
شركة المأمون وشركائه لسياحه وتاجير السيارات والخدمات العقاريه,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201159352620,—,الاداره العامه الحي المتميز  ٦اكتوبر جوار بنك الاسكندريه  ,"https://www.google.com/maps?q=29.975294,30.94286",29.975294,30.94286,car_rental_agency,d85415ba-209b-4a40-beb3-66ac37e650ab
المصرية لخدمة السيارات,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201022239959,https://car-service-11082.business.site/?_target%3Fm=true,"مول بريما فيستا, Magda Square","https://www.google.com/maps?q=29.975178,30.942932",29.975178,30.942932,car_wash,0d712464-a77c-4c0b-8d5b-373564f03b28
Evolution Advertising Agency,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201027236335,https://egvision.my.canva.site/,"امام رايه - بجوار مكتبة برناسوس, المحور المركزي - الحصري - ع 53","https://www.google.com/maps?q=29.971111,30.943079",29.971111,30.943079,advertising_agency,95692542-3278-40ef-a9b4-1fad5073567a
Fit & Fix Bridgestone,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,02 02019187,http://www.fitandfix.com,El Mehwar El Markazi,"https://www.google.com/maps?q=29.97154,30.943089",29.97154,30.943089,automotive_repair,f57090b4-1a0a-41db-b6e3-f2b89921fe77
السويسي موتورز لتجارة السيارات,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201152428428,—,الحى الرابع - المحور المركزى - أمام بنك الاسكان والتعمير ,"https://www.google.com/maps?q=29.958988,30.943003",29.958988,30.943003,car_dealer,ba041f0b-9cae-4cc1-a8da-a9a428700b85
الهندسيه لتكييف السيارات,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201110516000,—,محور الكفراوي ,"https://www.google.com/maps?q=29.956982,30.94264",29.956982,30.94264,automotive_repair,81ccef80-9e4a-4cc7-b944-8f97f1e921d6
كوتشيكو للإطارات والجنوط,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201023409720,—,"عماره ٩٨٣ بجوار اورانج جيم محور الكفراوي, District No. 7","https://www.google.com/maps?q=29.957949,30.942583",29.957949,30.942583,automotive_repair,751d9ebd-7cab-478b-b085-3020da38146c
German Tech. Auto Service,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201001935039,—,السادس من اكتوبر,"https://www.google.com/maps?q=29.959085,30.942478",29.959085,30.942478,professional_services,08b36e15-9c17-44fe-bf0e-74a86b72533b
